;link;regiao;area;populacao;idh
0;https://pt.wikipedia.org/wiki/S%C3%A3o_Crist%C3%B3v%C3%A3o_(bairro_do_Rio_de_Janeiro);São Cristóvão;410.56;26.51;0.833
1;https://pt.wikipedia.org/wiki/Benfica_(bairro_do_Rio_de_Janeiro);Benfica;173.64;25.081;0.825
2;https://pt.wikipedia.org/wiki/Caju_(bairro_do_Rio_de_Janeiro);Caju;534.75;20.477;0.753
3;https://pt.wikipedia.org/wiki/Catumbi;Catumbi;53.95;12.0;0.802
4;https://pt.wikipedia.org/wiki/Centro_(Rio_de_Janeiro);Centro;572.31;41.142;0.894
5;https://pt.wikipedia.org/wiki/Cidade_Nova_(Rio_de_Janeiro);Cidade Nova;93.48;5.466;0.867
6;https://pt.wikipedia.org/wiki/Est%C3%A1cio_(bairro);Estácio;98.04;17.0;0.829
7;https://pt.wikipedia.org/wiki/Gamboa_(Rio_de_Janeiro);Gamboa;111.29;13.0;0.792
8;https://pt.wikipedia.org/wiki/Lapa_(bairro_do_Rio_de_Janeiro);Lapa;111.29;13.0;0.792
9;https://pt.wikipedia.org/wiki/Mangueira_(Rio_de_Janeiro);Mangueira;79.81;17.835;0.8
10;https://pt.wikipedia.org/wiki/Paquet%C3%A1_(bairro_do_Rio_de_Janeiro);Paquetá;170.57;3.361;0.822
11;https://pt.wikipedia.org/wiki/Rio_Comprido_(bairro);Rio Comprido;170.57;43.764;0.822
12;https://pt.wikipedia.org/wiki/Santa_Teresa_(bairro_do_Rio_de_Janeiro);Santa Teresa;515.71;40.926;0.878
13;https://pt.wikipedia.org/wiki/Santo_Cristo_(bairro_do_Rio_de_Janeiro);Santo Cristo;168.47;12.0;0.792
14;https://pt.wikipedia.org/wiki/Sa%C3%BAde_(bairro_do_Rio_de_Janeiro);Saúde;36.38;2.749;0.792
15;https://pt.wikipedia.org/wiki/Vasco_da_Gama_(bairro_do_Rio_de_Janeiro);Vasco da Gama;36.38;2.749;0.792
16;https://pt.wikipedia.org/wiki/Zona_Sul_(Rio_de_Janeiro);Zona Sul;36.38;2.749;0.792
17;https://pt.wikipedia.org/wiki/Zona_Sul_(Rio_de_Janeiro);Zona Sul;36.38;2.749;0.792
18;https://pt.wikipedia.org/wiki/Botafogo_(bairro_do_Rio_de_Janeiro);Botafogo;479.9;82.0;0.952
19;https://pt.wikipedia.org/wiki/Catete_(bairro);Catete;68.1;24.0;0.901
20;https://pt.wikipedia.org/wiki/Copacabana;Copacabana;4.1;146.0;0.956
21;https://pt.wikipedia.org/wiki/Cosme_Velho;Cosme Velho;89.25;7.0;0.878
22;https://pt.wikipedia.org/wiki/Flamengo_(bairro_do_Rio_de_Janeiro);Flamengo;164.63;50.0;0.959
